iter	RMSE
0	9.048502548
1	8.374578011
2	7.789359605
3	7.256022605
4	6.75825838
5	6.331663071
6	5.93074606
7	5.59779062
8	5.275135968
9	4.976062998
10	4.740599543
11	4.498291121
12	4.27800441
13	4.090608323
14	3.923619939
15	3.765277533
16	3.631045138
17	3.47703877
18	3.344570677
19	3.229840112
20	3.139741611
21	3.050563445
22	2.976265725
23	2.917237322
24	2.850260701
25	2.793779131
26	2.752066838
27	2.711493995
28	2.67548925
29	2.634921969
30	2.603553514
31	2.575534096
32	2.550199943
33	2.528068323
34	2.505072876
35	2.468303016
36	2.451658502
37	2.437444162
38	2.421883248
39	2.405503232
40	2.38269017
41	2.373883793
42	2.359358149
43	2.344899341
44	2.32437041
45	2.311328013
46	2.299306481
47	2.291213209
48	2.273289342
49	2.254910874
50	2.244354541
51	2.237188871
52	2.229060134
53	2.217262056
54	2.208227384
55	2.201779298
56	2.193569931
57	2.182469045
58	2.171040371
59	2.16021537
60	2.150555038
61	2.141974781
62	2.126315612
63	2.118901378
64	2.113719137
65	2.103321522
66	2.091253242
67	2.076780949
68	2.071355749
69	2.057326586
70	2.050671612
71	2.040816392
72	2.028334724
73	2.020601267
74	2.006987296
75	1.99715008
76	1.991574545
77	1.986378477
78	1.974641016
79	1.968389661
80	1.959428595
81	1.953281462
82	1.947564644
83	1.939582186
84	1.930891758
85	1.921171773
86	1.914623129
87	1.908413403
88	1.897856925
89	1.889042018
90	1.886168324
91	1.88436962
92	1.881710171
93	1.873887942
94	1.869367782
95	1.860752843
96	1.851722634
97	1.844365823
98	1.840207117
99	1.830610913
100	1.824520111
101	1.815341517
102	1.803334456
103	1.797663502
104	1.794467766
105	1.784536509
106	1.778465673
107	1.770926555
108	1.765061934
109	1.757630006
110	1.755754995
111	1.750955344
112	1.747574038
113	1.742105793
114	1.734602221
115	1.733125103
116	1.727415836
117	1.723536467
118	1.717515425
119	1.713304958
120	1.709189851
121	1.70186684
122	1.697172413
123	1.69363058
124	1.687032311
125	1.681806497
126	1.675706477
127	1.673150662
128	1.667918808
129	1.665466369
130	1.662642799
131	1.661258355
132	1.65712709
133	1.654426009
134	1.650844168
135	1.644990106
136	1.638785633
137	1.634880384
138	1.630085669
139	1.629214527
140	1.626683839
141	1.620846578
142	1.615729109
143	1.612457905
144	1.611094391
145	1.609433921
146	1.601665485
147	1.597689316
148	1.594597904
149	1.590238273
150	1.583491797
151	1.58218329
152	1.574276213
153	1.571820701
154	1.567864276
155	1.564947932
156	1.564120463
157	1.5597571
158	1.5544511
159	1.54888501
160	1.54503131
161	1.541029575
162	1.53693277
163	1.530935184
164	1.527368222
165	1.52172086
166	1.517634267
167	1.514268442
168	1.507940059
169	1.503576512
170	1.501814415
171	1.499614279
172	1.492163503
173	1.489010853
174	1.48601897
175	1.482575996
176	1.476487179
177	1.473596374
178	1.470277575
179	1.468183239
180	1.460815676
181	1.457708356
182	1.454410376
183	1.451426192
184	1.449125395
185	1.443481787
186	1.439253645
187	1.434422072
188	1.431542706
189	1.429077927
190	1.42693633
191	1.424739834
192	1.421969855
193	1.418785392
194	1.416445815
195	1.413005921
196	1.41046464
197	1.408736683
198	1.405903044
199	1.40149095
