iter	Passed	Remaining
0	50	10076
1	101	10072
2	140	9224
3	182	8950
4	220	8612
5	263	8529
6	306	8459
7	346	8308
8	390	8281
9	432	8213
10	474	8154
11	523	8206
12	563	8111
13	618	8215
14	655	8089
15	699	8047
16	748	8054
17	793	8021
18	837	7974
19	879	7912
20	923	7875
21	969	7846
22	1011	7781
23	1056	7746
24	1107	7750
25	1158	7755
26	1211	7764
27	1263	7761
28	1316	7761
29	1363	7728
30	1412	7699
31	1454	7634
32	1494	7563
33	1533	7488
34	1573	7417
35	1613	7350
36	1652	7278
37	1692	7213
38	1728	7135
39	1781	7125
40	1827	7088
41	1871	7041
42	1914	6989
43	1958	6942
44	2000	6888
45	2039	6828
46	2077	6762
47	2115	6699
48	2151	6629
49	2192	6578
50	2234	6527
51	2284	6501
52	2341	6495
53	2389	6460
54	2453	6469
55	2500	6429
56	2542	6377
57	2585	6329
58	2629	6285
59	2672	6236
60	2723	6206
61	2764	6152
62	2799	6088
63	2835	6024
64	2870	5962
65	2908	5904
66	2945	5846
67	2981	5787
68	3018	5731
69	3057	5677
70	3092	5618
71	3132	5569
72	3168	5512
73	3203	5454
74	3257	5429
75	3294	5375
76	3330	5320
77	3367	5267
78	3404	5214
79	3442	5163
80	3480	5113
81	3516	5060
82	3552	5007
83	3605	4979
84	3642	4927
85	3680	4879
86	3729	4844
87	3775	4805
88	3814	4757
89	3851	4707
90	3892	4662
91	3928	4612
92	3968	4565
93	4004	4516
94	4041	4466
95	4078	4417
96	4127	4382
97	4165	4335
98	4205	4290
99	4242	4242
100	4282	4197
101	4319	4149
102	4354	4101
103	4409	4070
104	4446	4022
105	4482	3975
106	4523	3931
107	4562	3886
108	4600	3840
109	4638	3795
110	4675	3748
111	4714	3704
112	4751	3658
113	4789	3612
114	4827	3568
115	4865	3523
116	4901	3477
117	4939	3432
118	4977	3388
119	5014	3343
120	5055	3300
121	5092	3255
122	5136	3215
123	5174	3171
124	5220	3132
125	5276	3099
126	5327	3062
127	5379	3025
128	5420	2983
129	5466	2943
130	5504	2899
131	5547	2857
132	5586	2814
133	5622	2769
134	5661	2725
135	5698	2681
136	5744	2641
137	5791	2601
138	5836	2561
139	5879	2519
140	5916	2475
141	5956	2432
142	5994	2389
143	6030	2345
144	6084	2307
145	6119	2263
146	6160	2221
147	6204	2179
148	6254	2140
149	6305	2101
150	6351	2061
151	6394	2019
152	6433	1976
153	6479	1935
154	6519	1892
155	6560	1850
156	6602	1808
157	6627	1761
158	6663	1718
159	6702	1675
160	6741	1633
161	6779	1590
162	6818	1547
163	6855	1504
164	6892	1461
165	6931	1419
166	6968	1376
167	7005	1334
168	7032	1289
169	7078	1249
170	7126	1208
171	7176	1168
172	7219	1126
173	7262	1085
174	7310	1044
175	7368	1004
176	7424	964
177	7471	923
178	7521	882
179	7580	842
180	7637	801
181	7694	760
182	7738	718
183	7787	677
184	7828	634
185	7908	595
186	7997	555
187	8042	513
188	8080	470
189	8118	427
190	8166	384
191	8226	342
192	8278	300
193	8320	257
194	8370	214
195	8412	171
196	8455	128
197	8504	85
198	8544	42
199	8582	0
